Unnamed: 0,Name,Album,Artist,Spotify_Link
68,Titans (feat. Sia & Labrinth),Music Is The Weapon (Reloaded),Major Lazer,https://open.spotify.com/track/73HkJbtkrKCKBzuaYorTGX
69,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo,https://open.spotify.com/track/0osvOdeD3YXZiWkT8MKolJ
70,Let’s Go Home Together,Let’s Go Home Together (Luca Schreiner Remix),Ella Henderson,https://open.spotify.com/track/3W7EjPfDlXtTzv3wxxKZli
71,Dancing On Dangerous (feat. Sofía Reyes),Dancing On Dangerous (feat. Sofía Reyes),Imanbek,https://open.spotify.com/track/6OYZvwKN8GaauTrJS1TuuH
72,Off My Face,Justice,Justin Bieber,https://open.spotify.com/track/3T03rPwlL8NVk1yIaxeD8U
73,Girl From Rio,Girl From Rio,Anitta,https://open.spotify.com/track/2WpdmA55HVVyJf7JMbsEvd
74,Treat People With Kindness,Fine Line,Harry Styles,https://open.spotify.com/track/03mMSLEJCPoGJwQhHpN5y0
75,Medicine,Medicine,James Arthur,https://open.spotify.com/track/7CHNIK6EGjnwpWkSpx6JZe
76,Starstruck,Starstruck,Years & Years,https://open.spotify.com/track/1DuPTyxPS2oiZMgLAF11gj
77,Hey Boy (feat. Burna Boy),Hey Boy (feat. Burna Boy),Sia,https://open.spotify.com/track/7H9hyqq8cr8jHquz9HhCzm
78,Deserve You,Justice,Justin Bieber,https://open.spotify.com/track/5NU40QTlXrDUJzDBdv79bg
79,Higher (feat. iann dior),Higher (feat. iann dior),Clean Bandit,https://open.spotify.com/track/4OoYfejHABzYe2mG8p5s8b
